	subject_number	AGE_GROUP	TRIAL	image_id	FIRST_LAST	CURRENT_FIX_INDEX	CURRENT_FIX_X	CURRENT_FIX_Y	CURRENT_FIX_DURATION
1259	201	1	63	6	0	8	545.3	423.6	104
1260	201	1	63	6	0	9	692.5	428.6	180
1261	201	1	63	6	0	10	768.6	478.0	36
1262	201	1	63	6	0	11	756.4	333.3	129
1263	201	1	63	6	0	12	710.5	239.5	594
1264	201	1	63	6	0	13	758.9	299.6	206
1265	201	1	63	6	0	14	482.5	247.5	96
1266	201	1	63	6	0	15	546.1	152.7	225
1267	201	1	63	6	0	16	591.2	94.6	227
1268	201	1	63	6	0	17	296.4	43.2	211
1269	201	1	63	6	0	18	439.6	250.9	47
1270	201	1	63	6	2	19	441.7	242.5	444
1773	201	1	89	129	1	1	422.8	277.7	627
1774	201	1	89	129	0	2	401.1	285.7	167
1775	201	1	89	129	0	3	478.2	159.8	145
1776	201	1	89	129	0	4	394.2	428.2	217
1777	201	1	89	129	0	5	364.1	482.3	210
1778	201	1	89	129	0	6	391.6	453.9	105
1779	201	1	89	129	0	7	291.1	190.4	190
1780	201	1	89	129	0	8	465.0	257.4	209
1781	201	1	89	129	0	9	543.8	364.7	158
1782	201	1	89	129	0	10	607.6	507.1	119
1783	201	1	89	129	0	11	351.7	444.1	200
1784	201	1	89	129	0	12	629.3	247.4	270
1785	201	1	89	129	0	13	647.7	163.4	153
1786	201	1	89	129	0	14	597.0	87.9	154
1787	201	1	89	129	0	15	343.7	170.9	165
1788	201	1	89	129	0	16	93.7	211.5	287
1789	201	1	89	129	0	17	283.2	417.7	126
1790	201	1	89	129	0	18	383.9	475.6	264
1791	201	1	89	129	0	19	395.4	451.2	309
1792	201	1	89	129	0	20	367.9	273.0	313
1793	201	1	89	129	0	21	281.9	183.3	197
1794	201	1	89	129	0	22	267.6	166.8	20
1795	201	1	89	129	0	23	585.3	125.4	291
1796	201	1	89	129	2	24	622.8	109.6	71
1859	201	1	93	107	1	1	405.9	279.6	737
1860	201	1	93	107	0	2	356.4	320.2	307
1861	201	1	93	107	0	3	133.5	491.8	182
1862	201	1	93	107	0	4	53.0	298.3	210
1863	201	1	93	107	0	5	314.3	114.7	222
1864	201	1	93	107	0	6	525.2	121.8	207
1865	201	1	93	107	0	7	592.8	217.3	118
1866	201	1	93	107	0	8	755.8	147.2	296
1867	201	1	93	107	0	9	775.3	107.2	200
1868	201	1	93	107	0	10	568.2	97.1	119
1869	201	1	93	107	0	11	531.6	145.7	239
1870	201	1	93	107	0	12	556.0	306.9	231
1871	201	1	93	107	0	13	370.6	439.7	263
1872	201	1	93	107	0	14	264.4	417.4	90
1873	201	1	93	107	0	15	114.5	509.7	129
1874	201	1	93	107	0	16	167.6	514.1	168
1875	201	1	93	107	0	17	46.9	228.8	199
1876	201	1	93	107	0	18	43.6	100.9	155
1877	201	1	93	107	0	19	186.0	57.4	135
1878	201	1	93	107	0	20	314.1	46.7	195
1879	201	1	93	107	0	21	470.8	50.5	299
1880	201	1	93	107	2	22	222.9	17.8	182
2063	201	1	103	149	1	1	415.7	280.2	820
2064	201	1	103	149	0	2	488.4	163.1	99
2065	201	1	103	149	0	3	514.0	151.8	106
2066	201	1	103	149	0	4	649.7	149.9	313
2067	201	1	103	149	0	5	515.0	154.9	217
2068	201	1	103	149	0	6	187.2	174.7	343
2069	201	1	103	149	0	7	261.0	420.2	130
2070	201	1	103	149	0	8	268.3	374.3	117
2071	201	1	103	149	0	9	207.1	479.0	131
2072	201	1	103	149	0	10	630.7	507.6	236
2073	201	1	103	149	0	11	556.7	164.5	256
2074	201	1	103	149	0	12	693.7	147.7	121
