imageid	filename
6	fire_hydrant.png
9	lightbulb.png
37	hard_hat.png
52	flag.png
58	rucksack.png
67	clock.png
85	teddy_bear.png
97	pumpkin.png
106	iron.png
107	motor_boat.png
111	snowman.png
112	bananas.png
129	lemon.png
149	watermellon.png
150	wine_glass.png
